Model,R²,MSE,MAE,RMSE,MAPE,SMAPE
lstm,0.14007517870804143,0.026962373672199332,0.1398289745618712,0.16420223406579867,5.801294369667002,6.020705950510585
linear_regression,0.9139961012016502,0.002605805432943772,0.030678281861264894,0.05104709034747987,1.290298984514826,1.288930939374881
gradient_boosting,0.7636790527535773,0.00716021502347243,0.046973461255160255,0.08461805376793081,1.8721081146868193,1.9039121457534218
