,lag_4,lag_14,lag_15,diff_1_lag_1,log_lag_1,log_lag_2,log_lag_4,log_lag_10,max_8,var_8,ma_14,skew_18,ema_0.1,ema_0.2,ema_0.3,tema_0.3,dema_0.7,ema_0.9,dema_0.9,tema_0.9,momentum_20,macd_signal,macd_hist,adx,bb_lower,bb_width,month_2,is_end_month,ema_diff_0.5_0.1,dist_to_ema_0.5,is_peak,is_trough,skew_20,coeff_var_20
lag_4,1.0,0.9555839820751997,0.9503752700418899,-0.05761266943938162,0.9718058295591516,0.9764446804970394,0.986580905420787,0.9469697695205711,0.9653639760696489,-0.251332760496577,0.9528710698828374,0.016603211635582225,0.950342537021255,0.9811410170654576,0.9877055349650804,0.9831143357719557,0.9815701993973007,0.982635548943224,0.9812507123587045,0.9812283777242564,0.3265918606394031,0.5106164714624688,-0.008241414483787204,-0.2062811944286341,0.8722806844054446,-0.48104360683106645,0.05658934822347623,0.024934632251122843,0.31987351452542645,0.026507042234728075,0.057984895984371496,0.023262766368462823,0.028813287214061914,-0.48104351753361235
lag_14,0.9555839820751997,1.0,0.9954111105054502,-0.06608798998523241,0.9178453759276393,0.9229765507046982,0.939568935420599,0.9600641772975429,0.9593834575700595,-0.15776321594982087,0.9596915150850407,-0.045829744395675276,0.9510712811129745,0.9639960271258723,0.9589922940837705,0.9321948517728988,0.9331487435551951,0.9351507590061695,0.9329850904738904,0.9329691296091729,0.23435829185192472,0.47686087196376264,-0.15544978453479674,-0.20180167414021508,0.8822027356614514,-0.48840540573337904,0.052513260700256116,0.024683141260727057,0.18213464445758068,-0.05849348546771435,0.04907736007240732,0.03430422940370093,-0.043623822823900364,-0.48840530799863774
lag_15,0.9503752700418899,0.9954111105054502,1.0,-0.06361654828575496,0.9136455399688982,0.918286539444874,0.9336857335736258,0.9546633008920522,0.9587621550232993,-0.14841125343265238,0.9594696696523112,-0.04672141841803059,0.9510272011305028,0.9618198908990668,0.955692333370594,0.9271665133169803,0.928305485003693,0.9303509932426521,0.9281019010894395,0.928078912938871,0.22354382066440892,0.4711449641583648,-0.170151261117084,-0.20136885917799383,0.8835605449612091,-0.4877656971598116,0.0496877130257048,0.0256499138444474,0.16802337393442457,-0.06553583729079501,0.04572787513864285,0.03849097711240903,-0.04699973192355915,-0.4877655994693949
diff_1_lag_1,-0.05761266943938162,-0.06608798998523241,-0.06361654828575496,1.0,0.039930423160535924,-0.061931732427937924,-0.07016070868259473,-0.07102455377002138,-0.04021418751360131,-0.02456853963319225,-0.0567252116681968,0.14680424530373154,-0.05367361265288357,-0.03320514901090443,-0.017154479451623936,0.03044690324171949,0.045990028836831516,0.042058294701234004,0.046645603849616565,0.04646910770593793,0.15692457761248602,0.021944807243433402,0.17309260942348603,0.001073197870122054,-0.055191688721199235,0.03606195588558682,0.013923035853415125,0.004121722342902369,0.19917808935371392,0.38336269806565637,0.1403422460830692,-0.14854341698745377,0.12753362845992353,0.036061940219428046
log_lag_1,0.9718058295591516,0.9178453759276393,0.9136455399688982,0.039930423160535924,1.0,0.9935390370062575,0.9801090992379169,0.9332253072279022,0.9273811408512557,-0.3516079813799112,0.9189669396324698,0.06801171466997101,0.9173054558976513,0.956915545439899,0.9698315219801515,0.9819831353365677,0.981720234910809,0.9815623098806965,0.981026055172218,0.9809367034647832,0.3775237098213162,0.5220067069433907,0.05939680316764493,-0.22307371727025277,0.8612193509816388,-0.5357138330853288,0.061803223022179186,0.028920991942587834,0.3936786990544985,0.11503444280668515,0.0770577735438592,0.007080470131723374,0.07919715390742253,-0.5357137436908029
log_lag_2,0.9764446804970394,0.9229765507046982,0.918286539444874,-0.061931732427937924,0.9935390370062575,1.0,0.9875511459712503,0.9411235173267367,0.9297489981974247,-0.35144192627303067,0.9232775522302042,0.05323884277238509,0.9212446064551273,0.9589963784858978,0.9703951325155271,0.9777984177950986,0.9756025708629883,0.9758515312408989,0.9747853290639811,0.9747093671034344,0.3617462693807305,0.5198813041792526,0.043411319496363926,-0.22181697999630465,0.8655452382784461,-0.5404223927135006,0.06070034519560136,0.030055410403769956,0.37432013238065,0.07244921373124488,0.0644769630430213,0.019474183912279414,0.06646344961823797,-0.5404223012165612
log_lag_4,0.986580905420787,0.939568935420599,0.9336857335736258,-0.07016070868259473,0.9801090992379169,0.9875511459712503,1.0,0.9568393511699352,0.9360916318293072,-0.3273457601205557,0.9328818208889909,0.03093404782963028,0.9294919816109023,0.9627294717964213,0.9703030184494473,0.9670511454365588,0.9645112925161101,0.9655399904661296,0.9640468702640645,0.9640160073868878,0.3310934664615056,0.5184330618336543,-0.0014608868049681215,-0.21956996801303927,0.8749207765033331,-0.5493498535591078,0.05818845887415835,0.025649354834448752,0.32934722191675314,0.020378266788606478,0.0567143938257683,0.02734308895302531,0.04473458368664509,-0.5493497573481609
log_lag_10,0.9469697695205711,0.9600641772975429,0.9546633008920522,-0.07102455377002138,0.9332253072279022,0.9411235173267367,0.9568393511699352,1.0,0.9324389387626575,-0.21013845079548882,0.9293446307464479,-0.014150049209705168,0.9198719883592252,0.9437328049665119,0.9438561413589165,0.9242027868250756,0.9244394737270253,0.9261129120986502,0.9241515960605813,0.9241269863471087,0.2842894656057954,0.5078987931004945,-0.0954293616798351,-0.21252135301693395,0.87453023160843,-0.5677667916729365,0.05750191886292522,0.003347397075669242,0.24316734080914135,-0.0360562206524372,0.062171165306132585,0.030091881109795077,-0.0034800014668334915,-0.5677666879170667
max_8,0.9653639760696489,0.9593834575700595,0.9587621550232993,-0.04021418751360131,0.9273811408512557,0.9297489981974247,0.9360916318293072,0.9324389387626575,1.0,-0.07890557338140278,0.9723867564982979,-0.050952505332565665,0.9679559479018368,0.9810448663257892,0.9771987710939305,0.9533939036756269,0.9543878786083951,0.9562371631111788,0.9542364160288668,0.9542212094322082,0.23391261361198085,0.4705601233319969,-0.1356904544599409,-0.14957091920430007,0.8634996430171533,-0.40096483753956463,0.05844620882481288,0.02248219643849946,0.19520914738904113,-0.04129939854434215,0.04761125686167313,0.018901781840633996,-0.04596526679538782,-0.4009647381580464
var_8,-0.251332760496577,-0.15776321594982087,-0.14841125343265238,-0.02456853963319225,-0.3516079813799112,-0.35144192627303067,-0.3273457601205557,-0.21013845079548882,-0.07890557338140278,1.0,-0.19983496441536353,-0.09982051216771576,-0.2015654931848767,-0.23166912596105885,-0.2473491765648267,-0.2751592501287174,-0.271049484203036,-0.2697632696694681,-0.27003100695001514,-0.2699245973098053,-0.19394421164847148,-0.17036127182316702,-0.1658402433259296,0.2604305177419235,-0.33165185877798226,0.5099378260521328,0.04925435126731489,-0.04708229549867878,-0.24540209992110895,-0.10207400246155572,-0.037577516728921644,-0.03136257350617724,-0.10672613820945971,0.5099378541649539
